"","doc.text"
"572","Tom Carper[78] (D–Delaware) (1993–2001)"
"573","Jimmy Carter[66] (D–Georgia) (1971–1975)"
"574","Ben Cayetano[318] (D–Hawaii) (1994–2002)"
"575","Paul Cellucci[122] (R–Massachusetts) (1997–2001)"
"576","Bill Clinton[67] (D–Arkansas) (1983–1992)"
"577","Richard Codey[319] (D–New Jersey) (2004–2006)"
"578","Jon Corzine[111] (D–New Jersey) (2006–2010)"
"579","Charlie Crist[320] (R/I–Florida) (2007–2011)"
"580","Chet Culver[321] (D–Iowa) (2007–2011)"
"581","Gray Davis[322] (D–California) (1991–2003)"
"582","Howard Dean[74] (D–Vermont) (1999–2003)"
"583","Michael Dukakis[323] (D–Massachusetts) (1975–1979; 1983–1991)"
"584","Dan Evans[115] (R–Washington) (1965–1977)"
"585","James Florio[266] (D–New Jersey) (1990–1994)"
"586","Parris Glendening[324] (D–Maryland) (1995–2003)"
"587","Jennifer Granholm[325] (D–Michigan) (2003–2011)"
"588","Christine Gregoire[326] (D–Washington) (2005–2013)"
"589","Jon Huntsman, Jr.[327] (R–Utah) (2005–2009)"
"590","Gary Johnson[328] (R–New Mexico) (1995–2003)"
"591","Tim Kaine[86] (D–Virginia) (2006–2010)"
"592","Thomas Kean[266] (R–New Jersey) (1982–1990)"
"593","Bob Kerrey[120] (D–Nebraska) (1983–1987)"
"594","Angus King[87] (I–Maine) (1995–2003)"
"595","Ted Kulongoski[329] (D–Oregon) (2003–2011)"
"596","Madeleine M. Kunin[330] (D–Vermont) (1985–1991)"
"597","Gary Locke[331] (D–Washington) (1997–2005)"
"598","Mike Lowry[284] (D–Washington) (1993–1997)"
"599","John Lynch[332] (D–New Hampshire) (2005–2013)"
"600","Jim McGreevey[333] (D–New Jersey) (2002–2004)"
"601","Ronnie Musgrove[334] (D–Mississippi) (2000–2004)"
"602","Janet Napolitano[335] (D–Arizona) (2003–2009)"
"603","David Paterson[336] (D–New York) (2008–2011)"
"604","Ed Rendell[337] (D–Pennsylvania) (2003–2011)"
"605","Ann Richards[338] (D–Texas) (1991–1995)"
"606","Tom Ridge[122] (R–Pennsylvania) (1995–2001)"
"607","Chuck Robb[123] (D-Virginia) (1982-1986)"
"608","Barbara Roberts[339] (D–Oregon) (1991–1995)"
"609","Jay Rockefeller[98] (D–West Virginia) (1977–1985)"
"610","Pedro Rosselló[340] (NPP/D–Puerto Rico) (1993–2001)"
"611","Arnold Schwarzenegger[341] (R–California) (2003–2011)"
"612","Brian Schweitzer[342] (D–Montana) (2009–2013)"
"613","Kathleen Sebelius[296] (D–Kansas) (2003–2009)"
"614","Jeanne Shaheen[74] (D–New Hampshire) (1997–2003)"
"615","Eliot Spitzer[343] (D–New York) (2007–2008)"
"616","Ted Strickland [122] (D–Ohio) (2007–2011)"
"617","Jane Swift [122] (R–Massachusetts) (2001–2003)"
"618","James R. Thompson [344] (R–Illinois) (1977–1991)"
"619","Jesse Ventura[345] (Ref./IP–Minnesota) (1999–2003)"
"620","Tom Vilsack[346] (D–Iowa) (1999–2007)"
"621","John D. Waihee III[175] (D–Hawaii, 1986–1994)"
"622","Mark Warner[104] (D–Virginia) (2002–2006)"
"623","Lowell P. Weicker, Jr.[125] (ACP–Connecticut) (1991–1995)"
"624","William Weld[268] (R–Massachusetts) (1991–1997)"
"625","Christine Todd Whitman[268] (R–New Jersey) (1994–2001)"
"626","Jerry Abramson[347] (D–Kentucky) (2011–present)"
"627","Anthony G. Brown[348] (D–Maryland) (2007–present)"
"628","Matthew P. Denn[349] (D–Delaware) (2009–present)"
"629","Robert Duffy[350] (D–New York) (2011–present)"
"630","Gavin Newsom[74] (D–California) (2011–present)"
"631","Ralph Northam[351] (D–Virginia) (2014–present)"
"632","Brad Owen[352] (D–Washington) (1997–present)"
"633","Yvonne Prettner Solon[113] (D–Minnesota) (2011–present)"
"634","Elizabeth H. Roberts[353] (D–Rhode Island) (2007–present)"
"635","Phillip Scott[354] (R–Vermont) (2011–present)"
"636","Sheila Simon[355] (D–Illinois) (2011–present)"
"637","Shan Tsutsui[356] (D–Hawaii) (2012–present)"
"638","Nancy Wyman[357] (D–Connecticut) (2011–present)"
"639","Don Beyer[123] (D-Virginia) (1990–1998)"
"640","Cruz Bustamante[358] (D–California) (1999–2007)"
"641","John Carney[139] (D–Delaware) (2001–2009)"
"642","Ben Cayetano[318] (D–Hawaii) (1986–1994)"
"643","Joy Corning[359] (R–Iowa) (1991–1999)"
"644","Paul Cellucci[122] (R–Massachusetts) (1991–1999)"
"645","Gray Davis[322] (D–California) (1995–1999)"
"646","Howard Dean[74] (D–Vermont) (1987–1991)"
"647","Mervyn M. Dymally[265] (D–California) (1975–1979)"
"648","Lee Fisher[360] (D–Ohio) (2007–2011)"
"649","John Garamendi[170] (D–California) (2007–2009)"
"650","Bill Halter[361] (D-Arkansas) (2007–2011)"
"651","Mazie Hirono[84] (D–Hawaii) (1994–2002)"
"652","Tim Kaine[86] (D–Virginia) (2002–2006)"
"653","John Kerry[74] (D–Massachusetts) (1983–1985)"
"654","Madeleine M. Kunin[330] (D–Vermont) (1979–1983)"
"655","Mitch Landrieu[76] (D–Louisiana) (2004–2010)"
"656","Abel Maldonado[362] (R–California) (2010–2011)"
"657","Tim Murray[363] (D–Massachusetts) (2007–2013)"
"658","Ronnie Musgrove[334] (D–Mississippi) (1996–2000)"
"659","David Paterson[336] (D–New York) (2007–2008)"
"660","Sally Pederson[364] (D–Iowa) (1999–2007)"
"661","Pat Quinn[316] (D–Illinois) (2003–2009)"
"662","Doug Racine[365] (D–Vermont) (1997–2003)"
"663","Harry Reid[71] (D–Nevada) (1971–1975)"
"664","Chuck Robb (D-Virginia) (1978–1982)"
"665","Brian Schatz[100] (D–Hawaii) (2010–2012)"
"666","Jane Swift [122] (R–Massachusetts) (1999–2003)"
"667","Kathleen Kennedy Townsend[366] (D–Maryland) (1995–2003)"
"668","John D. Waihee III[175] (D–Hawaii, 1982–1986)"
"669","John Walsh[103] (D-Montana, 2013–2014)"
"670","Beau Biden[367] (D–Delaware) (2007–present)"
"671","Martha Coakley[368] (D–Massachusetts) (2007–present)"
"672","Jack Conway[369] (D–Kentucky) (2008–present)"
"673","Roy Cooper[370] (D–North Carolina) (2001–present)"
"674","Bob Ferguson[371] (D–Washington) (2013–present)"
"675","Joseph Foster[372] (D–New Hampshire) (2013–present)"
"676","Doug Gansler[373] (D–Maryland) (2007–present)"
"677","Kamala Harris[74] (D–California) (2011–present)"
"678","Mark Herring[374] (D–Virginia) (2014–present)"
"679","Jim Hood1[375] (D–Mississippi) (2004–present)"
"680","George Jepsen[376] (D–Connecticut) (2011–present)"
"681","Kathleen Kane[377] (D–Pennsylvania) (2013–present)"
"682","Peter Kilmartin[378] (D–Rhode Island) (2011–present)"
"683","Gary King[376] (D–New Mexico) (2007–present)"
"684","Chris Koster1[379] (D–Missouri) (2009–present)"
"685","David M. Louie[380] (D–Hawaii) (2010–present)"
"686","Lisa Madigan[381] (D–Illinois) (2003–present)"
"687","Catherine Cortez Masto[382] (D–Nevada) (2007–present)"
"688","Dustin McDaniel1[383] (D–Arkansas) (2007–present)"
"689","Tom Miller[384] (D–Iowa) (1995–present)"
"690","Janet T. Mills[385] (D–Maine) (2009–2011, 2013–present)"
"691","Irvin B. Nathan[376] (D–District of Columbia) (2011–present)"
"692","Ellen Rosenblum[386] (D–Oregon) (2012–present)"
"693","Eric Schneiderman[74] (D–New York) (2011–present)"
"694","William Sorrell[387] (D–Vermont) (1997–present)"
"695","1Attorneys General Jim Hood, Chris Koster, and Dustin McDaniel all personally support same-sex marriage, but have actively defended the bans on same-sex marriage in their state's constitutions."
"696","Jeff Bingaman (D-New Mexico) (1979–1983)"
"697","Bruce Botelho[76] (D–Alaska) (1994–2002)"
"698","Richard Blumenthal[74] (D–Connecticut) (1991–2011)"
"699","Jerry Brown[304] (D–California) (2007–2011)"
"700","Steve Bullock[305] (D–Montana) (2009–2013)"
"701","Bill Clinton[67] (D–Arkansas) (1977–1979)"
"702","Charlie Crist[320] (R–Florida) (2003–2007)"
"703","Andrew Cuomo[306] (D–New York) (2007–2010)"
"704","Michael Delaney[376] (D–New Hampshire) (2009–2013)"
"705","Lee Fisher[360] (D–Ohio) (1991–1995)"
"706","Jennifer Granholm[325] (D–Michigan) (1999–2003)"
"707","Christine Gregoire[326] (D–Washington) (1993–2003)"
"708","Scott Harshbarger[294] (D–Massachusetts) (1991–1999)"
"709","Heidi Heitkamp[83] (D–North Dakota) (1992–2000)"
"710","Ted Kulongoski[329] (D–Oregon) (1993–1997)"
"711","Bill Lockyer[388] (D–California) (1999–2007)"
"712","Patrick C. Lynch[389] (D–Rhode Island) (2003–2011)"
"713","Patricia A. Madrid[390] (D–New Mexico) (1999–2007)"
"714","Janet Napolitano[335] (D–Arizona) (1999–2003)"
"715","Jay Nixon[313] (D–Missouri) (1993–2009)"
"716","Jim Petro[391] (R–Ohio) (2003–2007)"
"717","Thomas Reilly[392] (D–Massachusetts) (1999–2007)"
"718","G. Steven Rowe[393] (D–Maine) (2001–2009)"
"719","James Shannon[294] (D–Massachusetts) (1987–1991)"
"720","Eliot Spitzer[343] (D–New York) (1999–2006)"
"721","Tom Udall[102] (D–New Mexico) (1991–1999)"
"722","Sheldon Whitehouse[74] (D–Rhode Island) (1999–2003)"
"723","Grant Woods[394] (R-Arizona) (1991–1999)"
"724","Pete Aguilar[396] (D–Redlands, California)"
"725","Matt Appelbaum[76] (I–Boulder, Colorado)"
"726","Scott Avedisian[76] (R–Warwick, Rhode Island)"
"727","Greg Ballard[76] (R–Indianapolis, Indiana)"
"728","Tom Barrett[76] (D–Milwaukee, Wisconsin)"
"729","Tom Bates[76] (D–Berkeley, California)"
"730","Bill Bell[76] (D–Durham, North Carolina)"
"731","Virg Bernero[76] (D–Lansing, Michigan)"
"732","Dave Bing[76] (D–Detroit, Michigan)"
"733","Bill de Blasio[397] (D–New York City, New York)"
"734","Connie Boardman [76] (D–Huntington Beach, California)"
"735","Peter Bober[76] (I–Hollywood, Florida)"
"736","Bill Bogaard[76] (D–Pasadena, California)"
"737","Matti Herrera Bower[76] (D–Miami Beach, Florida)"
"738","Jim Brainard[76] (R–Carmel, Indiana)"
"739","Noam Bramson[76] (D–New Rochelle, New York)"
"740","Ardell Brede[76] (I–Rochester, Minnesota)"
"741","Michael F. Brennan[76] (D–Portland, Maine)"
"742","Pete Buttigieg[76] (D–South Bend, Indiana)"
"743","Chuck Cahn[76] (D–Cherry Hill, New Jersey)"
"744","Kirk Caldwell[76] (D–Honolulu, Hawaii)"
"745","John B. Callahan[76] (D–Bethlehem, Pennsylvania)"
"746","Stephen Cassidy[76] (D–San Leandro, California)"
"747","Dan Clodfelter[398] (D-Charlotte, North Carolina)"
"748","Chris Coleman[76] (D–Saint Paul, Minnesota)"
"749","Michael B. Coleman[76] (D–Columbus, Ohio)"
"750","Suzette Cooke[76] (R–Kent, Washington)"
"751","Dennis Coombs[76] (D–Longmont, Colorado)"
"752","David Coss[76] (D–Santa Fe, New Mexico)"
"753","Jon Costas[76] (R–Valparaiso, Indiana)"
"754","Frank Cownie[76] (D–Des Moines, Iowa)"
"755","Joseph Curtatone[76] (D–Somerville, Massachusetts)"
"756","Henrietta Davis[76] (D–Cambridge, Massachusetts)"
"757","Karl Dean[76] (D–Nashville, Tennessee)"
"758","John Dennis[76] (R–West Lafayette, Indiana)"
"759","John DeStefano, Jr.[76] (D–New Haven, Connecticut)"
"760","Christopher Doherty[393] (D–Scranton, Pennsylvania)"
"761","Denny Doyle[329] (D–Beaverton, Oregon)"
"762","Harry Dressler[76] (D–Tamarac, Florida)"
"763","Carol Dutra-Vernaci[76] (D–Union City, California)"
"764","Buddy Dyer[76] (D-Orlando, Florida)"
"765","Rahm Emanuel[76] (D–Chicago, Illinois)"
"766","John Engen[76] (D–Missoula, Montana)"
"767","William D. Euille[76] (D–Alexandria, Virginia)"
"768","Paul J. Feiner[76] (D–Greenburgh, New York)"
"769","Bill Finch[76] (D–Bridgeport, Connecticut)"
"770","Greg Fischer[76] (D–Louisville, Kentucky)"
"771","Bob Foster[76] (D–Long Beach, California)"
"772","Eric Garcetti[399] (D–Los Angeles, California)"
"773","Don Gerard[76] (D–Champaign, Illinois)"
"774","Patricia Gerard[76] (D–Largo, Florida)"
"775","Marie Gilmore[76] (D–Alameda, California)"
"776","Mike Gin[76] (R–Redondo Beach, California)"
"777","Vincent C. Gray[76] (D–Washington, D.C.)"
"778","Mary Goloff[76] (Chico, California)"
"779","Greg Goodnight[76] (D–Kokomo, Indiana)"
"780","Charlie Hales[400] (D–Portland, Oregon)"
"781","Michael Hancock[76] (D–Denver, Colorado)"
"782","William J. Healy II[76] (D–Canton, Ohio)"
"783","George Heartwell[76] (I–Grand Rapids, Michigan)"
"784","Tom Henry[76] (D–Fort Wayne, Indiana)"
"785","Richard Hickman[76] (D–Angola, Indiana)"
"786","John Hieftje[76] (D–Ann Arbor, Michigan)"
"787","Bobby Hopewell[76] (D–Kalamazoo, Michigan)"
"788","Frank G. Jackson[76] (D–Cleveland, Ohio)"
"789","Sly James[76] (I–Kansas City, Missouri)"
"790","Teresa Jacobs[401] (R–Orange County, Florida)"
"791","Gerald Jennings[76] (D–Albany, New York)"
"792","Kevin Johnson[76] (D–Sacramento, California)"
"793","Lioneld Jordan[76] (I–Fayetteville, Arkansas)"
"794","Richard Kaplan[76] (D–Lauderhill, Florida)"
"795","Mike Kasperzak[402] (I–Mountain View, California)"
"796","Judith Flanagan Kennedy[76] (R–Lynn, Massachusetts)"
"797","Rick Kriseman[76] (D–St. Petersburg, Florida)"
"798","Joe Krovoza[76] (D–Davis, California)"
"799","Mark Kruzan[76] (D–Bloomington, Indiana)"
"800","Mitch Landrieu[76] (D–New Orleans, Louisiana)"
"801","Denis Law[76] (I–Renton, Washington)"
"802","Tim Leavitt[76] (I–Vancouver, Washington)"
"803","Ed Lee[76] (D–San Francisco, California)"
"804","Lee Leffingwell[76] (D–Austin, Texas)"
"805","Craig Lowe[76] (D–Gainesville, Florida)"
"806","Mike Maguire[76] (D–Eagan, Minnesota)"
"807","Mark Mallory[76] (D–Cincinnati, Ohio)"
"808","Esther Manheimer[76] (D-Asheville, North Carolina)"
"809","John Marks[76] (D–Tallahassee, Florida)"
"810","Garrad Marsh[403] (D–Modesto, California)"
"811","Jamie Matthews[76] (I–Santa Clara, California)"
"812","Thomas McDermott, Jr.[76] (D–Hammond, Indiana)"
"813","Gayle McLaughlin[76] (G–Richmond, California)"
"814","Stephanie Miner[76] (D–Syracuse, New York)"
"815","Lori Moseley[76] (D–Miramar, Florida)"
"816","Jeri Muoio[76] (D–West Palm Beach, Florida)"
"817","Patrick O. Murphy[76] (I–Lowell, Massachusetts)"
"818","Ed Murray[76] (D–Seattle,Washington)"
"819","Don Ness[76] (D–Duluth, Minnesota)"
"820","Michael Nutter[76] (D–Philadelphia, Pennsylvania)"
"821","Timothy O'Brien[76] (D–New Britain, Connecticut)"
"822","Pam O'Connor[76] (D–Santa Monica, California)"
"823","Frank C. Ortis[76] (D–Pembroke Pines, Florida)"
"824","Annise Parker[76] (D–Houston, Texas)"
"825","Judy Paul[76] (D–Davie, Florida)"
"826","Bill Peduto[404] (D–Pittsburgh, Pennsylvania)"
"827","Kitty Piercy[76] (D–Eugene, Oregon)"
"828","Don Plusquellic[76] (D–Akron, Ohio)"
"829","Jean Quan[76] (D–Oakland, California)"
"830","Mike Rawlings[405] (D–Dallas, Texas)"
"831","Stephanie Rawlings-Blake[76] (D–Baltimore, Maryland)"
"832","Kasim Reed[76] (D–Atlanta, Georgia)"
"833","Thomas Richards[76] (D–Rochester, New York)"
"834","Antonia Ricigliano[76] (D–Edison, New Jersey)"
"835","Madeline Rogero[406] (D–Knoxville, Tennessee)"
"836","Tony Roswarski[76] (D–Lafayette, Indiana)"
"837","Jonathan Rothschild[76] (D–Tucson, Arizona)"
"838","Michael Ryan[76] (D–Sunrise, Florida)"
"839","Robert Sabonjian[76] (I–Waukegan, Illinois)"
"840","Nicholas Sacco[407] (D–North Bergen, New Jersey)"
"841","Chuck Sammarone[76] (D–Youngstown, Ohio)"
"842","Domenic J. Sarno[76] (D–Springfield, Massachusetts)"
"843","Marni Sawicki[76] (D–Cape Coral, Florida)"
"844","Greg Scharff[76] (Palo Alto, California)"
"845","Helene Schneider[76] (D–Santa Barbara, California)"
"846","Pedro Segarra[76] (D–Hartford, Connecticut)"
"847","Francis G. Slay[76] (D–St. Louis, Missouri)"
"848","Scott Slifka[76] (D–West Hartford, Connecticut)"
"849","Kevin Smith[76] (D–Anderson, Indiana)"
"850","Paul Soglin[76] (D–Madison, Wisconsin)"
"851","Mike Spano[76] (D–Yonkers, New York)"
"852","Brian P. Stack[407] (D–Union City, New Jersey)"
"853","Greg Stanton[76] (D–Phoenix, Arizona)"
"854","Marilyn Strickland[76] (I–Tacoma, Washington)"
"855","Michael Sweeney[76] (D–Hayward, California)"
"856","Angel Taveras[76] (D–Providence, Rhode Island)"
"857","Jill Techel[76] (D–Napa, California)"
"858","Elizabeth Tisdahl[76] (D–Evanston, Illinois)"
"859","Dayne Walling[76] (D–Flint, Michigan)"
"860","Marty Walsh[408](D-Boston, Massachusetts)"
"861","Molly Joseph Ward[76] (I–Hampton, Virginia)"
"862","Setti Warren[76] (D–Newton, Massachusetts)"
"863","Yiaway Yeh[402] (I–Palo Alto, California)"
"864","Jerry Abramson[347] (D–Louisville, Kentucky)"
"865","Sam Adams[402] (D–Portland, Oregon)"
"866","Rocky Anderson[409] (D–Salt Lake City, Utah)"
"867","Toni Atkins[410] (D–San Diego, California)"
"868","Mark Begich[75] (D–Anchorage, Alaska)"
"869","Richard Bloom[76] (D–Santa Monica, California)"
"870","Michael Bloomberg[76] (I–New York City, New York)"
"871","Cory Booker[76] (D–Newark, New Jersey)"
"872","Jerry Brown[304] (D–Oakland, California)"
"873","Willie Brown[411] (D–San Francisco, California)"
"874","Anna Caballero[265] (D–Salinas, California)"
"875","Jane L. Campbell[412] (D–Cleveland)"
"876","Joe Canciamilla[201] (D–Pittsburg, California)"
"877","Mike Capuano[91] (D–Somerville, Massachusetts)"
"878","Julian Castro[76] (D–San Antonio, Texas)"
"879","Lincoln Chafee[109] (R–Warwick, Rhode Island)"
"880","Martin Chávez[413] (D–Albuquerque, New Mexico)"
"881","Upendra J. Chivukula[414] (D–Franklin Township, Somerset County, New Jersey)"
"882","Judy Chu[74] (D–Monterey Park, California)"
"883","David Cicilline[142] (D–Providence, Rhode Island)"
"884","Dave Cieslewicz[415] (D–Madison, Wisconsin)"
"885","Emanuel Cleaver[145] (D–Kansas City, Missouri)"
"886","Ellen Corbett[416] (D–San Leandro, California)"
"887","Aron Cromwell[402] (I–Lawrence, Kansas)"
"888","Richard M. Daley[417] (D–Chicago, Illinois)"
"889","Hector De La Torre[265] (D–South Gate, California)"
"890","Ron Dellums[263] (D–Oakland, California)"
"891","Mark DeSaulnier[265] (D–Concord, California)"
"892","David Dinkins[418] (D–New York City, New York)"
"893","Robert Duffy[350] (D–Rochester, New York)"
"894","Clint Eastwood[122] (R–Carmel-by-the-Sea, California)"
"895","Mike Eng[265] (D–Monterey Park, California)"
"896","Dianne Feinstein[74] (D–San Francisco, California)"
"897","Adrian Fenty[419] (D–Washington, D.C.)"
"898","Anthony Foxx[398] (D-Charlotte, North Carolina)"
"899","Lois Frankel[167] (D–West Palm Beach, Florida)"
"900","Bob Filner[74] (D–San Diego, California)"
"901","Shirley Franklin[420] (D–Atlanta, Georgia)"
"902","Laura Friedman[402] (D–Glendale, California)"
"903","Anthony Galluccio[421] (D–Cambridge, Massachusetts)"
"904","Neil Giuliano[422] (R–Tempe, Arizona)"
"905","Ron Gonzales[423] (D–San Jose, California)"
"906","Loni Hancock[265] (D–Berkeley, California)"
"907","John Hickenlooper[308] (D–Denver, Colorado)"
"908","Jennifer Hosterman[402] (D–Pleasanton, California)"
"909","Jan Laverty Jones[411] (D–Las Vegas, Nevada)"
"910","Tim Kaine[86] (D–Richmond, Virginia)"
"911","Vera Katz[424] (D–Portland, Oregon)"
"912","Ed Koch[425] (D–New York City, New York)"
"913","Dennis Kucinich[283] (D–Cleveland, Ohio)"
"914","Sally J. Lieber[265] (D–Mountain View, California)"
"915","Abel Maldonado[362] (R–Santa Maria, California)"
"916","Dan Malloy[310] (D–Stamford, Connecticut)"
"917","Michael McGinn[402] (D–Seattle, Washington)"
"918","Jim McGreevey[333] (D–Woodbridge Township, New Jersey)"
"919","Bob Menendez[74] (D–Union City, New Jersey)"
"920","Thomas Menino[76] (D–Boston, Massachusetts)"
"921","Jim Moran[209] (D–Alexandria, Virginia)"
"922","Gus Morrison[402] (D–Fremont, California)"
"923","Gene Mullin[265] (D–South San Francisco, California)"
"924","Tim Murray[363] (D–Worcester, Massachusetts)"
"925","Richard Neal[91] (D–Springfield, Massachusetts)"
"926","Mike Nevin[426] (D–Daly City, California)"
"927","Gavin Newsom[74] (D–San Francisco, California)"
"928","Greg Nickels[395][427] (D–Seattle, Washington)"
"929","Martin O'Malley[314] (D–Baltimore, Maryland)"
"930","Bill Pascrell[215] (D–Paterson, New Jersey)"
"931","Eddie Perez[428] (D–Hartford, Connecticut)"
"932","Tom Potter[429][430] (D–Portland, Oregon)"
"933","Luke Ravenstahl[76] (D–Pittsburgh, Pennsylvania)"
"934","Kenneth Reeves[431] (D–Cambridge, Massachusetts)"
"935","Ed Rendell[337] (D–Philadelphia, Pennsylvania)"
"936","Norm Rice[432] (D–Seattle, Washington)"
"937","Richard Riordan[433] (R–Los Angeles, California)"
"938","Ann Schwab[402] (D–Chico, California)"
"939","Joe Simitian[416] (D–Palo Alto, California)"
"940","Ira Ruskin[265] (D–Redwood City, California)"
"941","R. T. Rybak[76] (D–Minneapolis, Minnesota)"
"942","Jerry Sanders[402] (R–San Diego, California)"
"943","E. Denise Simmons[434] (D–Cambridge, Massachusetts)"
"944","Jesse Ventura[345] (I–Brooklyn Park, Minnesota)"
"945","Antonio Villaraigosa[76] (D–Los Angeles, California)"
"946","Edward Vincent[416] (D–Inglewood, California)"
"947","Joseph Vitale[319] (D–Woodbridge Township, New Jersey)"
"948","Joan Wagnon[74] (D–Topeka, Kansas)"
"949","Wellington Webb[435] (D–Denver, Colorado)"
"950","Anthony A. Williams[436] (D–Washington, D.C.)"
"951","Lois Wolk[265] (D–Davis, California)"
"952","List of organizations that support same-sex marriage in the United States"
"953","List of opponents of same-sex marriage in the United States"
"954","Same-sex marriage in the United States"
"955","Same-sex marriage law in the United States by state"
"956","^ Stein, Sam. Democratic Party Platform: Pro-Gay Marriage, Immigration Reform, Shots At Romney, Squishy On Guns. Huffington Post. 2012-09-03. Retrieved 2012-11-13."
"957","^ ""2012 Democratic National Platform"". Democratic Party. Retrieved 2013-10-08. ""We support marriage equality and support the movement to secure equal treatment under law for same-sex couples."" "
"958","^ ""Main Street Platform"". Citizens Party. Retrieved 2013-10-08. ""Support an Individual’s right to same sex marriage"" "
"959","^ ""CPUSA Program: Gays and Lesbians"". Communist Party. 2006-05-19. Retrieved 2010-06-06. ""As do all other people, gays and lesbians demand and deserve full and equal civil rights, including the right to marry."" "
"960","^ ""Gay marriage ban galvanizes protest"". Freedom Socialist Party. December 2008. Retrieved 2013-10-08. ""This has the potential to initiate a battle plan to win gay marriage and blossom into a broader united front effort."" "
"961","^ ""A. Civil Rights and Equal Rights"". Green Party. Retrieved 2013-10-08. ""The Green Party recognizes the equal rights of persons who identify as gay, lesbian, bisexual, intersex, transsexual, queer, or transgender to housing, jobs, civil marriage, medical benefits, child custody, and in all areas of life including equal tax treatment."" "
"962","^ ""Our Pledge - Justice For All"". Justice Party. Retrieved 2013-10-08. ""Support marriage equality"" "
"963","^ ""Libertarian Party 2012 Platform"". Libertarian Party. May 2012. Retrieved 2013-10-08. ""Sexual orientation, preference, gender, or gender identity should have no impact on the government's treatment of individuals, such as in current marriage, child custody, adoption, immigration or military service laws."" "
"964","^ ""Affiliate Platforms"". Objectivist Party. Retrieved 2013-10-08. ""This would, of course, require the following: legalization of homosexual marriage, deregulation and complete privatization of all abortion clinics and other services related to abortion, deregulation of alcohol and tobacco, legalization and moderate regulation of salvia, marijuana, opium, narcotics, and hallucinogens, and the complete deregulation of the media as a whole (including the abolition of all forms of government censorship)."" "
"965","^ ""Our 10-point Program"". Party for Socialism and Liberation. Retrieved 2013-10-08. ""Make same-sex marriage a federal right—keep the movement in the streets."" "
"966","^ ""Platform of the Peace and Freedom Party"". Peace and Freedom Party. Retrieved 2013-10-08. ""The right to gay marriage and partners' benefits."" "
"967","^ ""What We Stand For"". Socialist Alternative. Retrieved 2013-10-08. ""Equal rights for lesbian, gay, bisexual, and transgender people, including same-sex marriage."" "
"968","^ ""Socialist Party Platform: Human Rights"". Socialist Party USA. 2008-01-01. Retrieved 2006-07-05. ""We call for the end of all anti-gay, lesbian, bisexual, and transgender (GLBTQ) restrictions in law and the work place, the repeal of all sodomy laws, and the legalization of same-sex marriage."" "
"969","^ ""Workers World Party: Long history in LGBT struggle"". Workers World Party. 2013-10-08. Retrieved Jun 24, 2009. ""We fight for same-sex marriage rights, not because we are in favor of the patriarchal institution of marriage but because we demand simple equality."" "
"970","^ ""Lavender Green Caucus"". Lavender Greens. Retrieved May 1, 2013. ""The Green Party platform supports: Same sex Marriages,"" "
"971","^ ""Outright Libertarians - Issues"". Outright Libertarians. Retrieved May 1, 2013. ""There ought to be no government-provided benefits to such registration (such as Social Security survivor benefits), but if such government benefits do exist (and there are currently over 1100 of them), then it's vital that distribution of those benefits not discriminate on the basis of sexual orientation or gender identity (since LGBT folks aren't exempted from paying the taxes that fund these benefits)."" "
"972","^ ""LGBT Legislation"". Log Cabin Republicans. Retrieved May 1, 2013. ""We are actively involved in lobbying on legislation regarding marriage equality, tax equity for domestic partner benefits, permanent repeal of the death tax (which particularly discriminates against same-sex couples), and other commonsense conservative reforms."" "
"973","^ ""Who We Are"". National Stonewall Democrats. Retrieved May 1, 2013. ""And as Democrats continue to stand up for LGBT families, we must also continue to explain to our party why Democrats must also join our community's fight for marriage equality."" "
"974","^ ""2011 - 2013 Platform of the Young Democrats of America"". Young Democrats of America. Retrieved April 30, 2013. ""6. Full legal and social equality for LGBT Americans including support for efforts to establish civil marriage equality for same sex and opposite sex couples who choose to marry and share fully and equally in the rights, responsibilities and commitment of civil marriage."" "
"975","^ http://www.alaskademocrats.org/news/1106-alaska-democrats-support-minimum-wage-increase-marriage-equality-alaska-native-rights.  Missing or empty |title= (help)"
"976","^ ""2010 State Platform"". California Democratic Party. Retrieved August 2, 2010. "
"977","^ ""Colorado Democratic Party 2012 Draft Platform Proposal"". Colorado Democratic Party. April 14, 2012. Retrieved January 8, 2013. ""We support government recognition of all marriages, regardless of sexual orientation, with all associated benefits, protections and responsibilities."" "
"978","^ ""Your Party's Platform"". Democratic Party of Connecticut. Retrieved August 2, 2010. "
"979","^ ""GOV 2010-23 Supporting Marriage Equality"". Democratic Party of Hawaii. Retrieved May 9, 2012. ""Be It Further Resolved, That the Democratic Party of Hawai'i call upon our Hawai'i legislators to pass legislation to ensure that all families are treated equally under the law as required by the Constitution of the State of Hawai'i; including but not limited to, equal access to marriage licenses"" "
"980","^ ""2010 Iowa Democratic Party Platform"" (PDF). Iowa Democratic Party. Retrieved August 2, 2010. "
"981","^ a b ""Party Principles: Support for the Freedom to Marry by State and National Political Parties"". Freedom to Marry. Retrieved December 30, 2013. ""Maryland has adopted the Democratic National Committee’s platform"" "
"982","^ ""Maine Democratic Party 2010 Party Platform"" (PDF). Maine Democratic Party. Retrieved August 2, 2010. "
"983","^ ""Massachusetts Democratic Party Platform"". Massachusetts Democratic Party. Archived from the original on March 19, 2008. Retrieved March 17, 2008. "
